,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SYNE3,0.0195766287755197,-0.13122577459716,0.055,0.06,1
MYO1D,0.0196811596624017,0.311449922957862,0.01,0.008,1
DSEL,0.0196830987258549,0.248790472708095,0.015,0.013,1
AIMP2,0.0196970419000255,-0.149019584693028,0.039,0.044,1
CCDC85C,0.0197167641323082,0.195533077524956,0.026,0.023,1
TIMM29,0.0197212974867035,0.149975185052895,0.042,0.038,1
NDUFAF4,0.0197848958673947,0.104989496998899,0.081,0.075,1
THAP1,0.0198019822262088,0.130731366779848,0.055,0.05,1
USP35,0.0198414505124972,0.29409766679598,0.01,0.008,1
EXOC5,0.0198456290053528,0.121336013184132,0.068,0.062,1
AASDHPPT,0.0198605571169831,0.106579946280632,0.084,0.078,1
PDCD4-AS1,0.0198747737714671,0.136523668960517,0.051,0.046,1
RAB22A,0.01989157239909,0.14410239428115,0.047,0.042,1
GPR141,0.0199144139281397,-0.201388832691006,0.025,0.028,1
C8orf33,0.0199170677606114,0.122873844179086,0.073,0.068,1
FMR1,0.0199886989774045,-0.143212228678394,0.046,0.05,1
RINT1,0.0200243618548668,0.172086125719711,0.036,0.032,1
VPS45,0.0200836611066847,-0.155268426311403,0.039,0.043,1
NDST2,0.0201124070676678,0.134518664871814,0.055,0.05,1
IFI6,0.0201630825565904,-0.228554438964235,0.154,0.16,1
INSIG2,0.0201719385439466,0.130642922993596,0.05,0.046,1
FANCL,0.0203133046379575,-0.313942424022495,0.009,0.011,1
RAD50,0.0203630230840378,-0.106485612925298,0.082,0.088,1
COQ9,0.0203706298536244,-0.160221646649586,0.033,0.037,1
MANF,0.0203917089149574,-0.11783922098225,0.085,0.091,1
ANAPC1,0.0205067822915562,0.108305222310563,0.067,0.062,1
MLYCD,0.0205837018656743,-0.215088959486719,0.018,0.021,1
PINX1,0.0206010310272232,0.159727901379315,0.041,0.037,1
KMO,0.0206267609193936,0.238747858140418,0.015,0.012,1
ZNF433-AS1,0.0206586054541933,-0.113977863621918,0.06,0.065,1
PTP4A3,0.0207008436436248,0.129430949151769,0.047,0.042,1
FAM3C,0.020723810437515,0.149386315787472,0.048,0.044,1
OAS2,0.0207660992816833,-0.104206091715896,0.065,0.07,1
TUBGCP3,0.020770184409453,0.125388339260175,0.059,0.055,1
PHAX,0.0207814375508233,0.105580234676026,0.087,0.081,1
C2orf27A,0.020791864011394,-0.260390991810358,0.013,0.016,1
PIP4K2B,0.0207922554973136,-0.162348901959541,0.032,0.036,1
ZNF559,0.0208298445919471,0.180097083306608,0.029,0.026,1
SAAL1,0.0208638996744003,0.143608236016038,0.041,0.037,1
GRINA,0.0208767780762733,0.102099481229908,0.179,0.172,1
MSRA,0.0209010053854977,0.117602757765653,0.064,0.059,1
EPB41L5,0.0209117464847239,0.277492905429778,0.013,0.01,1
MAP4K3,0.0209125505846696,0.260013085665395,0.013,0.011,1
IL15,0.021011513225436,-0.194769146815791,0.022,0.025,1
ZNF439,0.0210337739979827,0.188102546008991,0.027,0.024,1
DCTPP1,0.0211008149290937,-0.139825715144854,0.043,0.048,1
SMC2,0.0211011284811217,-0.210685002840968,0.023,0.026,1
PRPF40B,0.0211225569766121,-0.275347693443202,0.01,0.012,1
CMIP,0.0211497557349678,-0.119636705395056,0.094,0.1,1
ZNF609,0.0212051687821595,0.136624746437637,0.049,0.044,1
DHODH,0.0212525507599449,-0.236226556123675,0.015,0.017,1
EPS8,0.0213117602146025,-0.166218785224726,0.035,0.039,1
VKORC1L1,0.0213359138225886,-0.300950106139728,0.008,0.01,1
VNN2,0.0213486829353458,-0.116336452903597,0.053,0.058,1
ALDH6A1,0.0213531705593897,0.21122530375556,0.024,0.021,1
FBXL3,0.021386729126392,0.118896482519284,0.065,0.06,1
PAXBP1,0.0214915393139746,0.141154672429956,0.048,0.044,1
ALG12,0.0215044741475203,0.126720103935845,0.06,0.055,1
ST3GAL3,0.0215547528894561,0.179309909384812,0.03,0.027,1
CLYBL,0.021602276297982,-0.217481498994389,0.018,0.021,1
CMC1,0.0216206885616816,-0.175138376473492,0.14,0.147,1
ZNF211,0.0216619593895859,0.157329862828518,0.036,0.033,1
TMEM223,0.0216620502364284,-0.144734448045311,0.041,0.045,1
ZNF747,0.0216987851822118,0.200641849549707,0.022,0.019,1
CSKMT,0.0216989681385753,-0.144772594901852,0.055,0.06,1
AC022098.1,0.0217105500951123,-0.209740621473707,0.023,0.026,1
NAGA,0.0218108559011521,-0.14218224630335,0.042,0.046,1
AKT1,0.0218243387726794,-0.135901156118771,0.05,0.055,1
POM121,0.0218483142551317,0.10238496125205,0.073,0.067,1
SAMM50,0.021907149941156,0.102503304120695,0.087,0.081,1
EHMT2,0.0219454091947288,-0.103727656155706,0.066,0.072,1
AGFG2,0.0219937052295309,-0.225489439842157,0.016,0.019,1
COMMD9,0.0220167679923789,-0.101969091315631,0.077,0.083,1
GGPS1,0.022023683330232,-0.3452560362898,0.008,0.01,1
MAST2,0.0221587697311259,0.290380265674067,0.011,0.009,1
MORN2,0.0221640734477264,-0.261648242470221,0.012,0.014,1
EFCAB13,0.022237444758666,0.275711772023383,0.013,0.011,1
ZNF684,0.0222526424894554,0.27324891282209,0.013,0.011,1
CDK8,0.022258473139315,0.153315993949422,0.036,0.032,1
RNF103,0.022277328920375,0.156624314535823,0.032,0.028,1
POGLUT1,0.0222833330633895,-0.134936275555035,0.036,0.039,1
SLC22A5,0.0224118387619181,0.176762976769125,0.032,0.029,1
FCGRT,0.022439435917576,-0.139769857588342,0.172,0.178,1
PMM2,0.0224614883744145,0.120823901148046,0.058,0.053,1
AL691432.2,0.0224759383258145,0.183319749638893,0.027,0.024,1
ZNF143,0.0224859918586472,-0.13566924886206,0.046,0.05,1
ATP6V1A,0.0227368505503039,-0.131219994547449,0.042,0.047,1
FAM207A,0.0227531344841801,-0.119073398595292,0.047,0.052,1
LNPK,0.0228527517496528,0.122819975793844,0.057,0.052,1
LARGE2,0.0229284428356551,0.288301375186792,0.013,0.01,1
SULT1A3,0.0229452783208033,-0.239233640736424,0.015,0.017,1
INO80,0.0230001255883363,0.128877094387398,0.058,0.053,1
AC012020.1,0.0230297118508906,-0.339760048534948,0.008,0.01,1
CNOT6,0.0230418514167015,-0.210795905556858,0.019,0.022,1
