group,names,scores,logfoldchanges,pvals,pvals_adj
15,SH3BGRL3,13.865641,2.8963807,1.0230840330189287e-43,2.3920983547023825e-41
15,RALY,13.863568,3.6321979,1.0530675977735259e-43,2.436820133981914e-41
15,NME2,13.861951,3.3650413,1.0770671332345333e-43,2.466923354345136e-41
15,NASP,13.857999,5.173541,1.1380280695950157e-43,2.5802200050636086e-41
15,CD3D,13.8510895,3.3975325,1.2529663789495337e-43,2.812408334190124e-41
15,ANP32E,13.84494,4.779713,1.3649495288532864e-43,3.0334313984792935e-41
15,CLIC1,13.838368,3.5222855,1.4956260908960698e-43,3.291257180024822e-41
15,HMGN1,13.8354,3.4684198,1.5586721450269997e-43,3.396694657017091e-41
15,NDUFA13,13.8341055,3.3178139,1.5869853653719915e-43,3.413899548126189e-41
15,MCM7,13.833653,6.222063,1.5969858885915078e-43,3.413899548126189e-41
15,NDUFA4,13.832705,3.0848374,1.618200060698242e-43,3.42661495872007e-41
15,ATP5MC2,13.829303,2.5814188,1.6965606986059973e-43,3.5589720972813284e-41
15,LDHB,13.802973,3.435898,2.445570094766098e-43,5.08270984695554e-41
15,HNRNPC,13.793345,3.2918253,2.7949308367318965e-43,5.75550619828295e-41
15,PPM1G,13.777697,4.154666,3.4717127168818486e-43,7.084187603920907e-41
15,ANXA5,13.771433,4.3410616,3.7862617163911715e-43,7.656435178929391e-41
15,C12orf75,13.760793,4.307198,4.3869204348517975e-43,8.760393760160371e-41
15,ARPC3,13.760409,3.0791452,4.410249019416029e-43,8.760393760160371e-41
15,ARPC1B,13.750201,3.5345135,5.078830437649863e-43,9.99994982486744e-41
15,NDUFB11,13.743998,3.2968035,5.533395297495831e-43,1.0782256546371176e-40
15,SEC61B,13.742878,3.2731996,5.619672558791923e-43,1.0782256546371176e-40
15,COX7A2,13.74287,3.188116,5.620262032992192e-43,1.0782256546371176e-40
15,SRP14,13.729481,2.927678,6.761611623275003e-43,1.286196055051108e-40
15,RBX1,13.716794,3.8556516,8.054912112638781e-43,1.5193324141200848e-40
15,PSMB2,13.712702,4.4969263,8.522441877914333e-43,1.594122753263876e-40
15,RPSA,13.709171,2.5314498,8.947411154877237e-43,1.6597817420030948e-40
15,YWHAZ,13.706126,2.889947,9.330775515629756e-43,1.7167097313428318e-40
15,PSMB8,13.7050905,3.7480407,9.464965061423421e-43,1.7195433383144905e-40
15,CNN2,13.704464,3.7361636,9.546997590760783e-43,1.7195433383144905e-40
15,SRP9,13.704244,3.7488658,9.576000948467937e-43,1.7195433383144905e-40
15,TAGLN2,13.69131,3.4493303,1.1442776321262553e-42,2.0384488675163435e-40
15,COTL1,13.688421,4.381734,1.1906883218697821e-42,2.1044244151723725e-40
15,SNRPD1,13.682635,4.2715945,1.2893356851490261e-42,2.2609709991293e-40
15,MCM3,13.680498,6.186161,1.3277995302618594e-42,2.3103711826556354e-40
15,SNRPF,13.675791,3.9008427,1.4165881802464874e-42,2.445902945677897e-40
15,NDUFA1,13.674553,3.0831277,1.4408956298316002e-42,2.468881168488557e-40
15,PSMA7,13.669387,3.5682464,1.546938127856837e-42,2.6304979710511033e-40
15,BTF3,13.656483,2.4580379,1.8469039654306147e-42,3.116962887823728e-40
15,LIME1,13.653458,3.6399765,1.9252281613957173e-42,3.224900844081214e-40
15,CRIP1,13.64315,4.002765,2.2176808285561817e-42,3.687263990946078e-40
15,PKM,13.641958,3.7353153,2.254234904949429e-42,3.7204821085658e-40
15,RPL28,13.639757,1.8763678,2.3233382490615685e-42,3.806543820323793e-40
15,IL32,13.629382,3.8337648,2.6783966759642017e-42,4.356470419470469e-40
15,CBX3,13.623368,4.0650125,2.908372777767601e-42,4.6964989474655805e-40
15,COX7B,13.621588,3.5032592,2.9801601051104184e-42,4.7780481228077466e-40
